"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code","zone_id"
"de:03452:59253","","Marienhafe Bahnhof",,"53.519895000000","7.273257000000",0,,0,"","518-518|Marienhafe-2518"
"de:03452:67921","","Norddeich(Norden)",,"53.621522000000","7.160884000000",0,,0,"","500-500|Norden-2500"
"de:16062:8010256","","Nordhausen",,"51.492920000000","10.789249000000",0,,0,"","PH-PH"
"de:08325:6596","","Oberndorf(Neckar)",,"48.295669000000","8.575514000000",0,,0,"",""
"de:03353:8003906","","Maschen",,"53.403825000000","10.065538000000",0,,0,"","9900-95|HVV-HVV|HVV Zone Ring B-HVV-RB"
"de:03458:99578","","Wildeshausen",,"52.897810000000","8.431398000000",0,,0,"","630-630|VBN-VBN|Wildeshausen-1630"
"de:08211:1847","","Baden-Baden Bahnhof",,"48.789874000000","8.191299000000",0,,0,"",""
"de:03158:3158","","Baddeckenstedt",,"52.089160000000","10.228767000000",0,,0,"","78-78|904-904|Baddeckenstedt-4078|HI-HI|VRB-VRB"
"de:03361:6466","","Baden(Achim)",,"53.007837000000","9.081262000000",0,,0,"","110-110|Achim-1110|VBN-VBN"
"de:03451:6417","","Bad Zwischenahn",,"53.182566000000","8.002996000000",0,,0,"","750-750|Bad Zwischenahn-1750|VBN-VBN"
"de:03459:682","","Achmer",,"52.390559000000","7.941024000000",0,,0,"","644-7644|Achmer-7644|Bramsche-7640|VOS-VOS"
"de:03241:9888","","Neustadt a Rbge Bahnhof",,"52.503325000000","9.455277000000",0,,0,"","3-3|GVH-GVH|Region-5003"
"de:03361:647","","Achim(b Bremen) (Zug)",,"53.015994000000","9.030313000000",0,,0,"","110-110|Achim-1110|VBN-VBN"
"de:13074:5118","","Bad Kleinen Bahnhof",,"53.767445000000","11.466530000000",0,,0,"","69-69"
"de:03152:761","","Adelebsen",,"51.577674000000","9.759952000000",0,,0,"","Adelebsen-3290|Adelebsen-290|VSN-VSN"
"de:16053:8010133","","Jena-Göschwitz",,"50.883942000000","11.593537000000",0,,0,"",""
"de:03458:29386","","Ganderkesee",,"53.035191000000","8.542789000000",0,,0,"","720-720|Bookholzberg-1720|VBN-VBN"
"de:06634:204236","","Guxhagen",,"51.204322000000","9.482159000000",0,,0,"",""
"de:03254:12022","","Hoheneggelsen",,"52.200177000000","10.197820000000",0,,0,"","163-163|170-170|171-171|6-6|HI-HI|Hoheneggelsen-HOE"
"de:01056:99951","","Pinneberg",,"53.655179000000","9.797608000000",0,,0,"","502-69|HVV-HVV|HVV Zone AB-HVV-AB"
"de:08111:6115","","Stuttgart Hbf",,"48.784084000000","9.181635000000",0,,0,"",""
"de:01056:97960","","Elmshorn",,"53.754927000000","9.659149000000",0,,0,"","602-135"
"de:06636:206285","","Eichenberg",,"51.374964000000","9.921321000000",0,,0,"","Eichenberg-640|Eichenberg-EIC|VSN-VSN"
"de:01061:44297","","Horst(Holst)",,"53.804509000000","9.645152000000",0,,0,"","622-145"
"de:13075:6004","","Zerrenthin",,"53.499390000000","14.097895000000",0,,0,"",""
"de:03458:44456","","Hoykenkamp",,"53.069828000000","8.598687000000",0,,0,"","710-710|720-720|Bookholzberg-1720|Delmenhorst-1710|VBN-VBN"
